>>> STAGE 1: Encoder Pre-training
>> Collecting 10000 steps of data...
Stage 1 | Step 0 | Loss: 0.76763 | Best: 0.76763
Stage 1 | Step 100 | Loss: 0.06419 | Best: 0.06419
Stage 1 | Step 200 | Loss: 0.01773 | Best: 0.01773
Stage 1 | Step 300 | Loss: 0.00120 | Best: 0.00120
Stage 1 | Step 400 | Loss: 0.00085 | Best: 0.00085
Stage 1 | Step 500 | Loss: 0.00047 | Best: 0.00047
Stage 1 | Step 600 | Loss: 0.00050 | Best: 0.00047
Stage 1 | Step 700 | Loss: 0.00042 | Best: 0.00042
Stage 1 | Step 800 | Loss: 0.00022 | Best: 0.00022
Stage 1 | Step 900 | Loss: 0.00029 | Best: 0.00022
Stage 1 | Step 1000 | Loss: 0.00035 | Best: 0.00022
Stage 1 | Step 1100 | Loss: 0.00023 | Best: 0.00022
Stage 1 | Step 1200 | Loss: 0.00044 | Best: 0.00022
Stage 1 | Step 1300 | Loss: 0.00029 | Best: 0.00022
Stage 1 | Step 1400 | Loss: 0.00021 | Best: 0.00021
Stage 1 | Step 1500 | Loss: 0.00015 | Best: 0.00015
Stage 1 | Step 1600 | Loss: 0.00032 | Best: 0.00015
Stage 1 | Step 1700 | Loss: 0.00031 | Best: 0.00015
Stage 1 | Step 1800 | Loss: 0.00021 | Best: 0.00015
Stage 1 | Step 1900 | Loss: 0.00025 | Best: 0.00015
Stage 1 | Step 2000 | Loss: 0.00020 | Best: 0.00015
Stage 1 | Step 2100 | Loss: 0.00035 | Best: 0.00015
Stage 1 | Step 2200 | Loss: 0.00029 | Best: 0.00015
Stage 1 | Step 2300 | Loss: 0.00044 | Best: 0.00015
Stage 1 | Step 2400 | Loss: 0.00027 | Best: 0.00015
Stage 1 | Step 2500 | Loss: 0.00025 | Best: 0.00015
Stage 1 | Step 2600 | Loss: 0.00032 | Best: 0.00015
Stage 1 | Step 2700 | Loss: 0.00029 | Best: 0.00015
Stage 1 | Step 2800 | Loss: 0.00034 | Best: 0.00015
Stage 1 | Step 2900 | Loss: 0.00041 | Best: 0.00015
Stage 1 | Step 3000 | Loss: 0.00047 | Best: 0.00015
Stage 1 | Step 3100 | Loss: 0.00034 | Best: 0.00015
Stage 1 | Step 3200 | Loss: 0.00028 | Best: 0.00015
Stage 1 | Step 3300 | Loss: 0.00034 | Best: 0.00015
Stage 1 | Step 3400 | Loss: 0.00016 | Best: 0.00015
Stage 1 | Step 3500 | Loss: 0.00039 | Best: 0.00015
Stage 1 | Step 3600 | Loss: 0.00030 | Best: 0.00015
Stage 1 | Step 3700 | Loss: 0.00032 | Best: 0.00015
Stage 1 | Step 3800 | Loss: 0.00034 | Best: 0.00015
Stage 1 | Step 3900 | Loss: 0.00034 | Best: 0.00015
Stage 1 | Step 4000 | Loss: 0.00022 | Best: 0.00015
Stage 1 | Step 4100 | Loss: 0.00030 | Best: 0.00015
Stage 1 | Step 4200 | Loss: 0.00042 | Best: 0.00015
Stage 1 | Step 4300 | Loss: 0.00033 | Best: 0.00015
Stage 1 | Step 4400 | Loss: 0.00030 | Best: 0.00015
Stage 1 | Step 4500 | Loss: 0.00035 | Best: 0.00015
Stage 1 | Step 4600 | Loss: 0.00035 | Best: 0.00015
Stage 1 | Step 4700 | Loss: 0.00041 | Best: 0.00015
Stage 1 | Step 4800 | Loss: 0.00020 | Best: 0.00015
Stage 1 | Step 4900 | Loss: 0.00018 | Best: 0.00015
Stage 1 | Step 5000 | Loss: 0.00033 | Best: 0.00015
Stage 1 | Step 5100 | Loss: 0.00022 | Best: 0.00015
Stage 1 | Step 5200 | Loss: 0.00028 | Best: 0.00015
Stage 1 | Step 5300 | Loss: 0.00012 | Best: 0.00012
Stage 1 | Step 5400 | Loss: 0.00035 | Best: 0.00012
Stage 1 | Step 5500 | Loss: 0.00031 | Best: 0.00012
Stage 1 | Step 5600 | Loss: 0.00017 | Best: 0.00012
Stage 1 | Step 5700 | Loss: 0.00024 | Best: 0.00012
Stage 1 | Step 5800 | Loss: 0.00024 | Best: 0.00012
Stage 1 | Step 5900 | Loss: 0.00016 | Best: 0.00012
Stage 1 | Step 6000 | Loss: 0.00030 | Best: 0.00012
Stage 1 | Step 6100 | Loss: 0.00035 | Best: 0.00012
Stage 1 | Step 6200 | Loss: 0.00017 | Best: 0.00012
Stage 1 | Step 6300 | Loss: 0.00033 | Best: 0.00012
Stage 1 | Step 6400 | Loss: 0.00023 | Best: 0.00012
Stage 1 | Step 6500 | Loss: 0.00031 | Best: 0.00012
Stage 1 | Step 6600 | Loss: 0.00018 | Best: 0.00012
