>>> STAGE 1: Encoder Pre-training
>> Collecting 10000 steps of data...
Stage 1 | Step 0 | Loss: 0.75425 | Best: 0.75425
Stage 1 | Step 100 | Loss: 0.06821 | Best: 0.06821
Stage 1 | Step 200 | Loss: 0.04247 | Best: 0.04247
Stage 1 | Step 300 | Loss: 0.00871 | Best: 0.00871
Stage 1 | Step 400 | Loss: 0.00983 | Best: 0.00871
Stage 1 | Step 500 | Loss: 0.00669 | Best: 0.00669
Stage 1 | Step 600 | Loss: 0.00117 | Best: 0.00117
Stage 1 | Step 700 | Loss: 0.00485 | Best: 0.00117
Stage 1 | Step 800 | Loss: 0.00116 | Best: 0.00116
Stage 1 | Step 900 | Loss: 0.00071 | Best: 0.00071
Stage 1 | Step 1000 | Loss: 0.00086 | Best: 0.00071
Stage 1 | Step 1100 | Loss: 0.00037 | Best: 0.00037
Stage 1 | Step 1200 | Loss: 0.00079 | Best: 0.00037
Stage 1 | Step 1300 | Loss: 0.00035 | Best: 0.00035
